BrandName,Category,Individual_category,Description,discount_price,original_price,discount,SizeOption,ratings,reviews
HRX by Hrithik Roshan,Sports Wear,track-pants,hrx by hrithik roshan men olive green camo athleisure track pants,759,1899,60%,"S, M, L, XL, XXL",4,988
Roadster,Topwear,shirts,roadster men sea green pure cotton sustainable casual shirt,599,1199,50%,"38, 40, 42, 44, 46, 48",4.3,988
Roadster,Bottom Wear,jeans,roadster men navy blue super skinny fit acid wash clean look stretchable jeans,799,1999,60%,"28, 30, 32, 34, 36, 38, 40",3.8,987
HRX by Hrithik Roshan,Inner Wear &  Sleep Wear,socks,hrx by hrithik roshan men quarter length pack of 3 terry socks,359,599,40%,Onesize,4.5,987
Moda Rapido,Topwear,tshirts,moda rapido men olive green  yellow striped cotton pure cotton t shirt,479,1199,60%,"S, M, L, XL",4.2,987
Moda Rapido,Topwear,tshirts,moda rapido men olive green printed round neck pure cotton t shirt,399,999,60%,"S, M, L, XL",4,987
Roadster,Bottom Wear,jeans,roadster men blue slim fit mid rise mildly distressed stretchable jeans,989,2199,55%,"28, 30, 32, 34, 36",3.7,986
HIGHLANDER,Topwear,shirts,highlander men black  white slim fit striped casual shirt,493,1049,53%,"39, 40, 42, 44",4.2,985
WROGN,Bottom Wear,jeans,wrogn men blue slim fit mid rise clean look stretchable jeans,1539,2799,45%,"28, 30, 32, 34, 36, 38",3.9,982
Roadster,Bottom Wear,jeans,roadster men blue skinny fit mid rise mildly distressed stretchable jeans,1349,2699,50%,"28, 30, 32, 34, 36, 38, 40",3.6,967
Roadster,Bottom Wear,jeans,the roadster lifestyle co men navy blue super skinny fit mid rise mildly distressed stretchable jeans,899,1999,55%,"28, 30, 32, 34, 36",3.8,959
WROGN,Bottom Wear,jeans,wrogn navy slim fit low distressed stretchable jeans,1649,2999,45%,"28, 30, 32, 34, 36, 38",4.1,958
Kook N Keech,Topwear,tshirts,kook n keech men white  black striped oversized longline pure cotton t shirt,439,1099,60%,"S, M, L, XL, XXL",3.7,958
HIGHLANDER,Topwear,shirts,highlander men khaki solid slim fit solid casual shirt,571,1099,48%,"39, 40, 42, 44",4.1,958
JAINISH,Topwear,shirts,jainish men grey classic slim fit solid formal shirt,597,1299,54%,"36, 38, 40, 42, 44",3.9,958
Roadster,Topwear,shirts,roadster men teal blue regular fit solid sustainable casual shirt,549,999,45%,"38, 40, 42, 44",4.2,958
Dennis Lingo,Topwear,shirts,dennis lingo men white slim fit casual shirt,684,1849,63%,"38, 40, 42, 44, 46",4.2,957
Mast & Harbour,Topwear,shirts,mast  harbour men blue slim fit  casual linen cotton sustainable shirt,1099,2199,50%,"38, 40, 42, 44",3.9,957
Roadster,Topwear,tshirts,roadster men sea green solid polo collar t shirt,494,899,45%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.2,957
WROGN,Bottom Wear,trousers,wrogn men olive green joggers,1799,2999,40%,"28, 30, 32, 34, 36, 38",4.2,955
Roadster Fast and Furious,Bottom Wear,jeans,roadster fast and furious men blue slim fit mid rise clean look stretchable jeans,679,1699,60%,"28, 30, 32, 34, 36",3.8,955
HIGHLANDER,Topwear,tshirts,highlander men charcoal grey slim fit solid henley neck t shirt,398,699,43%,"S, M, L, XL",4.1,953
Mast & Harbour,Topwear,tshirts,mast  harbour men peach coloured solid round neck t shirt,359,799,55%,"S, M, L, XL",4.1,953
Roadster,Bottom Wear,jeans,roadster men white skinny fit mid rise clean look stretchable jeans,1349,2699,50%,"28, 30, 32, 34, 36",3.9,952
Roadster,Topwear,tshirts,roadster men navy blue  mustard brown striped detail v neck pure cotton t shirt,649,1299,50%,"XS, S, M, L, XL",4.1,952
Mast & Harbour,Topwear,tshirts,mast  harbour men blue striped round neck pure cotton t shirt,359,899,60%,"S, M, L, XL",4.1,952
Roadster,Topwear,tshirts,the roadster lifestyle co men black printed detail round neck t shirt,399,799,50%,"XS, S, M, L, XL",4.2,950
HIGHLANDER,Topwear,shirts,highlander men sea green slim fit printed casual shirt,479,1199,60%,"39, 40, 42, 44",4.1,949
