BrandName,category,Individual_category,discounted_price,OriginalPrice (in Rs),Discount,SizeOption,ratings,Reviews
Roadster,Western,tshirts,389,599,35%,"XS, S, M, L, XL",4.2,999
Mast & Harbour,Western,tops,359,599,40%,"XS, S, M, L, XL",4.4,999
Mayra,Western,tops,586,1395,58%,"S, M, L, XL",3.7,998
Roadster,Western,tshirts,1098,1098,,"XS, S, M, L, XL",4.3,997
Athena,Western,jumpsuit,1250,2499,50%,"XS, S, M, L, XL",4.3,996
Roadster,Western,tshirts,320,799,60%,"XS, S, M, L, XL",4,996
all about you,Western,shirts,750,1499,50%,"XS, S, M, L, XL",4.2,993
KASSUALLY,Western,tops,494,1299,62%,"XS, S, M, L, XL, XXL",4.3,992
RARE,Western,tops,559,1299,57%,"S, M, L, XL",4.2,991
Zastraa,Western,trousers,810,2699,70%,"26, 28, 30, 32, 34, 36",4.1,991
WISSTLER,Western,shorts,351,899,61%,"26, 28, 30, 32, 34, 36",4,991
Roadster,Western,shorts,540,1199,55%,"26, 28, 30, 32, 34, 36",4.3,990
Roadster,Western,tshirts,799,1598,50%,"L, M, S, XS, XL",4.2,990
Vishudh,Western,dresses,822,2349,65%,"S, M, L, XL, XXL",4.4,990
Cottinfab,Western,jumpsuit,857,2449,65%,"S, M, L, XL, XXL",4.3,990
QUIERO,Western,jumpsuit,1332,2959,55%,"XS, S, M, L, XL",4.3,990
Roadster,Western,tshirts,360,899,60%,"XS, S, M, L, XL",4.1,990
StyleStone,Western,jackets,900,1999,55%,"S, M, L, XL",4.2,988
Mayra,Western,tops,418,995,58%,"S, M, L, XL",4.1,988
Roadster,Western,jeans,625,2499,75%,"26, 28, 30, 32, 34, 36",3.7,987
Kook N Keech Marvel,Western,tshirts,315,899,65%,"XS, S, M, L, XL",3.9,987
plusS,Plus Size,tops,560,1599,65%,"S, M, L, XL, XXL, 3XL, 4XL",4.4,986
La Zoire,Western,dresses,988,2599,62%,"S, M, L, XL",4.3,986
Roadster,Western,tshirts,240,599,60%,"XS, S, M, L, XL",4.2,984
Roadster,Western,tshirts,1998,1998,,"XS, S, M, L, XL",4.2,983
Tokyo Talkies,Western,trousers,651,1549,58%,"28, 30, 32, 34",4,982
Roadster,Western,jeans,675,2699,75%,"26, 28, 30, 32, 34, 36",3.8,982
Taavi,Western,tops,549,999,45%,"XS, S, M, L, XL",4.4,982
her by invictus,Western,tops,1039,1599,35%,"S, M, L, XL, XXL",4.2,981
SASSAFRAS,Western,jackets,720,1799,60%,"XS, S, M, L, XL, XXL",4.5,981
